feeder_id,state,date,units_injected_kwh,units_billed_kwh,loss_percentage,transformer_age_years,temperature_celsius,load_factor,smart_meter_installed,voltage_fluctuation,outage_hours_monthly
FEEDER_000,Uttar Pradesh,2024-01-01,4511.85,3427.8,24.03,11,43.3,0.89,False,2.32,3.9
FEEDER_000,Maharashtra,2024-01-02,4196.78,3947.22,5.95,13,36.6,0.75,True,4.48,0.0
FEEDER_000,West Bengal,2024-01-03,1110.75,987.6,11.09,26,19.6,0.63,False,6.39,7.8
FEEDER_000,Rajasthan,2024-01-04,2047.85,1378.3,32.7,19,32.0,0.81,False,7.52,16.9
FEEDER_000,Madhya Pradesh,2024-01-05,1306.06,1240.25,5.04,27,44.9,0.62,True,7.56,16.6
FEEDER_000,Gujarat,2024-01-06,1318.0,1037.28,21.3,23,39.7,0.85,False,1.33,2.5
FEEDER_000,West Bengal,2024-01-07,3427.0,2713.21,20.83,24,23.5,0.41,False,8.25,5.9
FEEDER_000,Tamil Nadu,2024-01-08,3391.03,2403.37,29.13,14,17.1,0.45,True,8.97,12.9
FEEDER_000,West Bengal,2024-01-09,572.63,450.08,21.4,17,18.7,0.77,True,3.95,7.5
FEEDER_000,Rajasthan,2024-01-10,2229.95,1465.66,34.27,22,42.6,0.8,True,7.12,2.3
FEEDER_000,Uttar Pradesh,2024-01-11,2893.36,2657.72,8.14,7,17.0,0.62,True,0.97,9.6
FEEDER_000,Bihar,2024-01-12,2203.65,1504.24,31.74,30,21.7,0.93,True,4.0,3.0
FEEDER_000,Tamil Nadu,2024-01-13,659.21,433.93,34.17,28,23.1,0.81,True,1.88,14.8
FEEDER_000,Tamil Nadu,2024-01-14,4940.77,3319.58,32.81,6,27.5,0.87,True,2.93,13.9
FEEDER_000,Rajasthan,2024-01-15,2726.44,1852.46,32.06,27,42.2,0.49,True,9.2,17.4
FEEDER_000,Madhya Pradesh,2024-01-16,3194.54,2677.07,16.2,24,39.3,0.89,True,2.91,2.6
FEEDER_000,Gujarat,2024-01-17,4680.97,4400.74,5.99,8,37.0,0.82,True,2.33,0.5
FEEDER_000,Tamil Nadu,2024-01-18,1383.71,1019.78,26.3,4,17.0,0.69,False,9.89,2.1
FEEDER_000,Gujarat,2024-01-19,2770.77,2023.94,26.95,8,27.4,0.63,False,0.77,4.5
FEEDER_000,Bihar,2024-01-20,2149.51,1968.24,8.43,9,20.2,0.44,False,5.99,8.4
FEEDER_000,Gujarat,2024-01-21,2697.94,2163.04,19.83,25,34.0,0.59,False,5.01,17.8
FEEDER_000,Madhya Pradesh,2024-01-22,4376.1,3675.51,16.01,5,25.5,0.52,False,2.04,9.5
